"year","obs","se_log","index","month"
"2012",4.07950637594038,0.537674605487484,1,7
"2013",19.6116614037644,0.476648819589551,1,7
"2014",12.4446843573573,0.390443215973212,1,7
"2015",28.3656695979878,0.321314423719599,1,7
"2016",29.9088427109988,0.376104954116642,1,7
"2017",20.6786428817648,0.300323366141333,1,7
"2018",17.7622305260474,0.298064039391272,1,7
"2019",11.439159656017,0.300553049413933,1,7
"2020",14.2173368896571,0.311056172504243,1,7
"2021",18.2803544209519,0.328591215794448,1,7
"2022",10.7477331602987,0.308936881350279,1,7
"2023",14.8301437515901,0.310397262119392,1,7
