"Boattype","Gf_opendepth","Lltrip","Month","Port","Year","Effort Offset","Df","Log-Likelihood","AICc","Delta"
"Included","Included","Included","Included","Included","Included","Included",48,-63695.6,127487.3,0
"Included","Included",NA,"Included","Included","Included","Included",47,-63705.6,127505.3,18
"Included",NA,"Included","Included","Included","Included","Included",45,-63725.2,127540.4,53.1
"Included",NA,NA,"Included","Included","Included","Included",44,-63770.3,127628.6,141.3
"Included","Included","Included",NA,"Included","Included","Included",37,-63874,127822,334.7
"Included","Included",NA,NA,"Included","Included","Included",36,-63890.2,127852.4,365.1
"Included",NA,"Included",NA,"Included","Included","Included",34,-63975,128017.9,530.7
NA,"Included","Included","Included","Included","Included","Included",47,-64034.2,128162.3,675.1
NA,"Included",NA,"Included","Included","Included","Included",46,-64039.4,128170.9,683.6
NA,NA,"Included","Included","Included","Included","Included",44,-64060.2,128208.4,721.1
NA,NA,NA,"Included","Included","Included","Included",43,-64092.9,128271.8,784.5
"Included",NA,NA,NA,"Included","Included","Included",33,-64121.4,128308.8,821.6
NA,"Included","Included",NA,"Included","Included","Included",36,-64225.1,128522.3,1035
NA,"Included",NA,NA,"Included","Included","Included",35,-64235.5,128541,1053.7
NA,NA,"Included",NA,"Included","Included","Included",33,-64311.4,128688.9,1201.6
NA,NA,NA,NA,"Included","Included","Included",32,-64426.7,128917.4,1430.2
"Included","Included","Included","Included",NA,"Included","Included",41,-65437.9,130957.9,3470.6
"Included","Included",NA,"Included",NA,"Included","Included",40,-65447.9,130975.8,3488.5
"Included",NA,"Included","Included",NA,"Included","Included",38,-65459.8,130995.6,3508.3
"Included",NA,NA,"Included",NA,"Included","Included",37,-65499.9,131073.8,3586.5
"Included","Included","Included",NA,NA,"Included","Included",30,-65584.8,131229.7,3742.4
"Included","Included",NA,NA,NA,"Included","Included",29,-65601.8,131261.6,3774.3
"Included",NA,"Included",NA,NA,"Included","Included",27,-65638.4,131330.8,3843.5
"Included",NA,NA,NA,NA,"Included","Included",26,-65747.6,131547.3,4060
NA,"Included","Included","Included",NA,"Included","Included",40,-65811.8,131703.6,4216.3
NA,"Included",NA,"Included",NA,"Included","Included",39,-65815.9,131709.8,4222.5
NA,NA,"Included","Included",NA,"Included","Included",37,-65832.4,131738.9,4251.6
NA,NA,NA,"Included",NA,"Included","Included",36,-65858.2,131788.5,4301.2
NA,"Included","Included",NA,NA,"Included","Included",29,-65963,131984,4496.7
NA,"Included",NA,NA,NA,"Included","Included",28,-65972,132000,4512.7
NA,NA,"Included",NA,NA,"Included","Included",26,-66018.3,132088.6,4601.3
NA,NA,NA,NA,NA,"Included","Included",25,-66102.9,132255.9,4768.6
