"year","sex_grouped","n_tows","n","n_stewart_hamel","input_n"
2003,"all",32,737,77,77
2003,"sexed",32,737,77,77
2003,"unsexed",0,0,0,0
2004,"all",21,524,51,51
2004,"sexed",21,524,51,51
2004,"unsexed",0,0,0,0
2005,"all",41,875,99,99
2005,"sexed",41,875,99,99
2005,"unsexed",0,0,0,0
2006,"all",30,366,72,72
2006,"sexed",30,366,72,72
2006,"unsexed",0,0,0,0
2007,"all",45,958,109,109
2007,"sexed",43,946,104,104
2007,"unsexed",2,12,4,4
2008,"all",31,627,75,75
2008,"sexed",31,619,75,75
2008,"unsexed",1,8,2,2
2009,"all",35,307,85,85
2009,"sexed",35,307,85,85
2009,"unsexed",0,0,0,0
2010,"all",43,1089,104,104
2010,"sexed",43,1089,104,104
2010,"unsexed",0,0,0,0
2011,"all",46,786,111,111
2011,"sexed",46,786,111,111
2011,"unsexed",0,0,0,0
2012,"all",40,887,97,97
2012,"sexed",40,886,97,97
2012,"unsexed",1,1,2,1
2013,"all",20,379,48,48
2013,"sexed",20,379,48,48
2013,"unsexed",0,0,0,0
2014,"all",50,1358,121,121
2014,"sexed",49,1357,119,119
2014,"unsexed",1,1,2,1
2015,"all",57,818,138,138
2015,"sexed",57,818,138,138
2015,"unsexed",0,0,0,0
2016,"all",78,2256,189,189
2016,"sexed",78,2256,189,189
2016,"unsexed",0,0,0,0
2017,"all",68,1750,165,165
2017,"sexed",68,1750,165,165
2017,"unsexed",0,0,0,0
2018,"all",59,856,143,143
2018,"sexed",59,856,143,143
2018,"unsexed",0,0,0,0
2019,"all",31,538,75,75
2019,"sexed",31,538,75,75
2019,"unsexed",0,0,0,0
2021,"all",32,395,77,77
2021,"sexed",32,395,77,77
2021,"unsexed",0,0,0,0
2022,"all",35,417,85,85
2022,"sexed",35,417,85,85
2022,"unsexed",0,0,0,0
2023,"all",62,714,150,150
2023,"sexed",62,714,150,150
2023,"unsexed",0,0,0,0
2024,"all",45,691,109,109
2024,"sexed",45,691,109,109
2024,"unsexed",0,0,0,0
