"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"6","NatM_uniform_Fem_GP_1",0.1,1060.22,6.94695e-05,18.7562,6.03327,0.321667,1
"5","NatM_uniform_Fem_GP_1",0.11,1053.77,0.000119804,17.9016,7.33227,0.409587,1
"4","NatM_uniform_Fem_GP_1",0.12,1049.12,7.96324e-06,17.2573,8.50054,0.492575,1
"3","NatM_uniform_Fem_GP_1",0.13,1045.95,5.0697e-05,16.7755,9.5208,0.567541,1
"2","NatM_uniform_Fem_GP_1",0.14,1044.05,2.37519e-05,16.4356,10.4098,0.63337,1
"1","NatM_uniform_Fem_GP_1",0.15,1043.25,1.26388e-06,16.2299,11.2004,0.69011,1
"7","NatM_uniform_Fem_GP_1",0.16,1043.42,2.82466e-06,16.1615,11.9332,0.738368,1
"8","NatM_uniform_Fem_GP_1",0.17,1044.47,6.04853e-08,16.2258,12.6334,0.778599,1
"9","NatM_uniform_Fem_GP_1",0.18,1046.31,7.29892e-06,16.4341,13.3236,0.810726,2
"10","NatM_uniform_Fem_GP_1",0.19,1049.05,0.0001229,16.8224,14.0276,0.833863,2
"11","NatM_uniform_Fem_GP_1",0.2,1052.68,1.7863e-05,17.3949,14.7844,0.849929,2
