" ","Base","Time-vary weight-length","No recdev sum to 0","Hybrid F method","Nonlinear WCGBTS Q"
"TOTAL_like","1060","1060","1060","1054","1056"
"Survey_like","14.1","14.5","14.1","13.6","10.3"
"Length_comp_like","307","307","307","307","307"
"Age_comp_like","752","752","752","748","754"
"Parm_priors_like","0.244","0.241","0.242","0.195","0.231"
"Recr_Virgin_millions","36.6","36.5","36.3","33.7","35.9"
"SR_LN(R0)","10.5","10.5","10.5","10.4","10.5"
"NatM_uniform_Fem_GP_1","0.157","0.156","0.157","0.153","0.156"
"L_at_Amax_Fem_GP_1","52.9","52.9","52.9","53","52.9"
"L_at_Amax_Mal_GP_1","-0.14","-0.14","-0.14","-0.141","-0.14"
"VonBert_K_Fem_GP_1","0.143","0.143","0.143","0.142","0.143"
"VonBert_K_Mal_GP_1","0.351","0.351","0.351","0.355","0.351"
"SSB_Virgin","14.6","14.6","14.5","14.3","14.6"
"Bratio_2023","0.648","0.648","0.653","0.62","0.644"
"SPRratio_2022","0.669","0.669","0.669","0.71","0.677"
